,no. games,no. wins,no. losses,no. ties,win ratio,avg game len,avg game len (wins),avg game len (losses),avg shutter size,avg shutter size (wins),avg shutter size (losses),fraction of plays with shutter,fraction of plays with shutter (wins),fraction of plays with shutter (losses),avg shutter size (real last turn),avg shutter size (real last turn - wins),avg shutter size (real last turn - losses),fraction of plays with shutter (real last turn),fraction of plays with shutter (real last turn - wins),fraction of plays with shutter (real last turn - losses),CI_wins_losses,CI_game_length,CI_game_length_wins,CI_game_length_losses,CI_shutter_size,CI_shutter_size_wins,CI_shutter_size_losses,CI_plays_with_shutter_all,CI_plays_with_shutter_wins,CI_plays_with_shutter_losses,CI_shutter_size_real_last_turn,CI_shutter_size_wins_real_last_turn,CI_shutter_size_losses_real_last_turn,CI_plays_with_shutter_all_real_last_turn,CI_plays_with_shutter_wins_real_last_turn,CI_plays_with_shutter_losses_real_last_turn
board 3 full_None,1000,1,999,0,0.001,4.665,11.0,4.658658658658658,2.990030342436064,2.4,2.99131190269331,0.9888555507929704,0.8333333333333334,0.9892565535023635,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.    0.003],[4.581 4.754],[11. 11.],[4.57457457 4.74674675],[2.91460772 3.06588643],[0.8 4. ],[2.91572546 3.06733275],[0.98456922 0.99271324],[0.5 1. ],[0.98495917 0.99312419],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_None,1000,0,1000,0,0.0,4.594,-1.0,4.594,3.222222222222222,-1.0,3.222222222222222,0.9952111449717023,0.0,0.9952111449717023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0. 0.],[4.524 4.666],[-1 -1],[4.522 4.668],[3.13079615 3.31321085],[-1 -1],[3.13167104 3.31321085],[0.99216369 0.99782325],[nan nan],[0.99216369 0.99782325],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_None,1000,27,973,0,0.027,4.603,6.703703703703703,4.544707091469681,0.668971477960242,0.5480769230769231,0.6746606334841629,0.9995680345572354,1.0,0.9995477159656264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.017 0.037],[4.528 4.681],[6.18518519 7.22222222],[4.47276465 4.62076053],[0.63526361 0.70354365],[0.42307692 0.68269231],[0.639819   0.71040724],[0.9987041 1.       ],[1. 1.],[0.99864315 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_None,1000,23,977,0,0.023,4.597,6.217391304347826,4.55885363357216,1.101819757365684,0.7439024390243902,1.115004492362983,0.9991341991341991,0.9879518072289156,0.9995509654243376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.014 0.033],[4.521 4.675],[5.69565217 6.73913043],[4.48515865 4.63664278],[1.05242634 1.15164645],[0.51219512 1.        ],[1.06469003 1.16576819],[0.9978355 1.       ],[0.96385542 1.        ],[0.9986529 1.       ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_None,1000,216,784,0,0.216,5.894,6.175925925925926,5.816326530612245,1.948897795591182,1.121761658031088,2.236273627362736,0.9800327332242226,0.9961290322580645,0.974561403508772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.191 0.242],[5.745 6.052],[5.91666667 6.4537037 ],[5.64540816 6.00255102],[1.87374749 2.0250501 ],[1.01165803 1.23445596],[2.14581458 2.32853285],[0.97479542 0.98494272],[0.99096774 1.        ],[0.96798246 0.98070175],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_None,1000,50,950,0,0.05,5.12,5.24,5.113684210526316,1.814330958036421,0.448051948051948,1.903035413153457,0.9771760154738878,0.9871794871794872,0.9765335529024289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.037 0.064],[5.007 5.237],[4.68 5.84],[4.99789474 5.23368421],[1.72882027 1.9010293 ],[0.25974026 0.66883117],[1.81450253 1.99367622],[0.97137331 0.98259188],[0.96794872 1.        ],[0.97035817 0.98229724],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_None,1000,903,97,0,0.903,11.603,11.08194905869324,16.45360824742268,0.3199390592268139,0.2522522522522522,0.76,0.8397569166799936,0.8342804766269477,0.8771929824561403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.884 0.921],[11.383 11.83 ],[10.89368771 11.27685493],[15.42268041 17.54639175],[0.29594363 0.34450581],[0.22961986 0.27576357],[0.66571429 0.86      ],[0.83064129 0.84871262],[0.8243813  0.84417965],[0.85338346 0.89974937],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_0,1000,259,741,0,0.259,5.407,3.16988416988417,6.188933873144399,0.0,0.0,0.0,0.9971761383692199,1.0,0.9965111208024422,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.232 0.286],[5.266 5.551],[3.07722008 3.27799228],[6.04048583 6.34547908],[0. 0.],[0. 0.],[0. 0.],[0.99505824 0.99894105],[1. 1.],[0.99389446 0.99869167],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_0,1000,113,887,0,0.113,4.445,3.654867256637168,4.545659526493799,0.0,0.0,0.0,0.9973672663448881,1.0,0.9970238095238095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.094 0.133],[4.357 4.537],[3.42477876 3.9380531 ],[4.45546787 4.64261556],[0. 0.],[0. 0.],[0. 0.],[0.99517332 0.99912242],[1. 1.],[0.99454365 0.99900794],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_0,1000,191,809,0,0.191,6.251,6.560209424083769,6.177997527812114,0.0,0.0,0.0,0.999379074821484,0.9986149584487535,0.9995998399359743,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.167 0.216],[6.101 6.402],[6.19371728 6.93717277],[6.01730532 6.34363412],[0. 0.],[0. 0.],[0. 0.],[0.99844769 1.        ],[0.99584488 1.        ],[0.99879952 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_0,1000,188,812,0,0.188,5.652,5.617021276595745,5.660098522167488,0.0,0.0,0.0,0.9996575342465753,1.0,0.9995648389904265,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.164 0.212],[5.529 5.776],[5.26595745 5.96808511],[5.53448276 5.79064039],[0. 0.],[0. 0.],[0. 0.],[0.9989726 1.       ],[1. 1.],[0.99869452 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_0,1000,429,571,0,0.429,5.773,5.657342657342658,5.859894921190893,0.0,0.0,0.0,0.9967752337955498,1.0,0.9940227136879857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.398 0.46 ],[5.652 5.899],[5.52214452 5.8018648 ],[5.67425569 6.0525394 ],[0. 0.],[0. 0.],[0. 0.],[0.9945179  0.99871009],[1. 1.],[0.98983861 0.99760909],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_0,1000,240,760,0,0.24,5.212,4.516666666666667,5.431578947368421,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.214 0.267],[5.099 5.327],[4.24166667 4.80833333],[5.31842105 5.55      ],[0. 0.],[0. 0.],[0. 0.],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_0,1000,927,73,0,0.927,10.989,10.62675296655879,15.58904109589041,0.0,0.0,0.0,0.8321584424303458,0.8279829281870477,0.8717047451669596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.911 0.943],[10.805 11.18 ],[10.46278317 10.79719525],[14.71232877 16.49315068],[0. 0.],[0. 0.],[0. 0.],[0.82259147 0.84155757],[0.81796252 0.83800334],[0.84358524 0.89806678],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_1,1000,29,971,0,0.029,5.393,3.068965517241379,5.462409886714727,0.5601577909270217,0.03389830508474576,0.5759268664296597,0.7480634452231649,1.0,0.7424585218702866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.019 0.04 ],[5.276 5.511],[3.         3.20689655],[5.34500515 5.58187436],[0.53846154 0.58185404],[0.         0.08474576],[0.55408837 0.59776536],[0.7314644  0.76429362],[1. 1.],[0.72586727 0.75904977],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_1,1000,195,805,0,0.195,5.175,3.235897435897436,5.64472049689441,0.7002905770029058,0.5084745762711864,0.7399799599198397,0.8972067039106145,1.0,0.8785211267605634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.171 0.22 ],[5.059 5.294],[3.14358974 3.34871795],[5.52298137 5.7689441 ],[0.68202574 0.71855542],[0.46004843 0.55690073],[0.72044088 0.75901804],[0.88566108 0.90837989],[1. 1.],[0.86487676 0.89172535],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_1,1000,53,947,0,0.053,4.629,7.150943396226415,4.487856388595565,0.4871794871794872,0.4027777777777778,0.4957627118644068,0.9995728321230244,1.0,0.9995294117647059,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.04  0.067],[4.551 4.711],[6.62264151 7.75471698],[4.42238648 4.55755016],[0.46709402 0.50726496],[0.33796296 0.46759259],[0.47457627 0.51694915],[0.9987185 1.       ],[1. 1.],[0.99858824 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_1,1000,26,974,0,0.026,4.546,6.0,4.507186858316222,0.4518810148731409,0.2747252747252747,0.4592255125284738,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.017 0.036],[4.482 4.612],[5.38461538 6.69230769],[4.44558522 4.57084189],[0.43175853 0.47244094],[0.18681319 0.37362637],[0.43872437 0.48018223],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_1,1000,261,739,0,0.261,6.053,6.157088122605364,6.016238159675237,0.4678548695098663,0.2497320471596999,0.5599818922589407,0.9952486537852392,0.9989293361884368,0.9937022042285201,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.234 0.288],[5.91  6.199],[5.89655172 6.44061303],[5.84844384 6.1894452 ],[0.4503501  0.48535964],[0.22186495 0.27759914],[0.53915799 0.58080579],[0.9927146  0.99746595],[0.99678801 1.        ],[0.99010346 0.9968511 ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_1,1000,145,855,0,0.145,5.209,5.027586206896552,5.239766081871345,0.3785500747384156,0.2036613272311213,0.4126842340330505,0.9996264475158759,1.0,0.9995535714285714,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.124 0.167],[5.096 5.325],[4.71034483 5.34482759],[5.12046784 5.36374269],[0.36023916 0.39723468],[0.16704805 0.24256293],[0.39258598 0.43322912],[0.99887934 1.        ],[1. 1.],[0.99866071 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_1,1000,915,85,0,0.915,11.305,10.90163934426229,15.64705882352941,0.1148727984344423,0.09315673289183223,0.2844827586206897,0.8363338788870703,0.8319559228650137,0.8721804511278195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.897 0.932],[11.108 11.508],[10.72240437 11.0852459 ],[14.8        16.54117647],[0.10626223 0.12367906],[0.08476821 0.101766  ],[0.24827586 0.32068966],[0.82700491 0.84549918],[0.82203857 0.84187328],[0.84661654 0.8962406 ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_2,1000,16,984,0,0.016,5.448,4.125,5.469512195121951,0.9875419262098706,0.4634146341463415,0.9980449657869013,0.763909224011713,1.0,0.7603121516164995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.009 0.024],[5.331 5.568],[3.625 4.625],[5.3495935  5.59146341],[0.95304264 1.02204121],[0.2195122  0.73170732],[0.96334311 1.03274682],[0.74816984 0.77964861],[1. 1.],[0.74396135 0.77629134],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_2,1000,46,954,0,0.046,5.146,3.217391304347826,5.238993710691824,1.180561374109761,0.5051546391752577,1.209170305676856,0.9194915254237288,1.0,0.9163665466186475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.034 0.059],[5.039 5.255],[3.04347826 3.47826087],[5.13207547 5.35010482],[1.15249267 1.20863008],[0.40206186 0.60824742],[1.18034934 1.23755459],[0.9087057  0.92989214],[1. 1.],[0.90516206 0.92717087],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_2,1000,30,970,0,0.03,4.646,7.866666666666666,4.546391752577319,0.5893926432848589,0.6240601503759399,0.5873015873015873,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.02  0.041],[4.565 4.731],[7.06666667 8.73333333],[4.4742268  4.62061856],[0.56458512 0.61462789],[0.5112782  0.73684211],[0.56145125 0.61315193],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_2,1000,17,983,0,0.017,4.597,5.705882352941177,4.577822990844354,0.9081057650628522,0.6491228070175439,0.9146666666666666,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.009 0.025],[4.528 4.67 ],[5.23529412 6.17647059],[4.508647   4.65106816],[0.86822713 0.9479844 ],[0.42105263 0.89473684],[0.87422222 0.95555556],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_2,1000,357,643,0,0.357,5.701,5.784313725490196,5.654743390357698,0.8814741035856574,0.6456953642384106,1.039356984478936,0.9943875866622648,0.9975227085053675,0.9922992299229924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.327 0.387],[5.574 5.833],[5.6162465  5.96358543],[5.48055988 5.83514774],[0.84893758 0.91401062],[0.59519868 0.69619205],[0.99778271 1.08093126],[0.99174645 0.99702872],[0.99421965 1.        ],[0.98789879 0.99614961],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_2,1000,91,909,0,0.091,5.269,5.681318681318682,5.227722772277228,0.6985266339251983,0.4172185430463576,0.7347547974413646,0.9876865671641791,0.993421052631579,0.9869528619528619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.074 0.109],[5.158 5.383],[5.21978022 6.14285714],[5.11331133 5.34433443],[0.66792595 0.72912731],[0.3410596  0.49668874],[0.70234542 0.76759062],[0.98320896 0.99179104],[0.98355263 1.        ],[0.98232323 0.99116162],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_2,1000,908,92,0,0.908,11.336,10.92290748898678,15.41304347826087,0.1837531732083577,0.1478357380688124,0.4464285714285715,0.8364913426984646,0.8322556807685202,0.8688293370944993,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.89  0.926],[11.14  11.538],[10.74449339 11.10792952],[14.58695652 16.2826087 ],[0.17066979 0.19703183],[0.13518313 0.16071032],[0.39285714 0.50162338],[0.82718066 0.84563868],[0.8222797  0.84204692],[0.84344147 0.89280677],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
